AIRL+GRPO Training Log - Started at 2026-02-19 10:34:54
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, num_prompts=32, group_size=8, disc_updates=5, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_grpo_best.pth', latest_save_path='airl_grpo_latest.pth', log_file='airl_grpo_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
1	1.681672	0.045879	-0.278916	0.003007	0.011073
2	1.602385	0.206224	-0.089494	0.004290	0.013030
3	1.662165	0.148437	-0.093734	0.003693	0.008457
4	1.592093	0.270096	-0.116110	0.003360	0.007390
5	1.598340	0.201790	-0.097629	0.003433	0.008405
6	1.618965	0.221059	-0.026098	0.004295	0.008664
7	1.543487	0.151984	-0.044469	0.003413	0.011524
8	1.597222	0.136901	-0.011295	0.003759	0.009284
9	1.641542	0.054790	-0.042886	0.002865	0.009991
10	1.520788	0.100687	-0.107462	0.003120	0.010733
11	1.581278	-0.082344	-0.094721	0.003527	0.009465
12	1.626422	0.080587	-0.067026	0.003488	0.009299
13	1.574030	-0.089162	-0.103462	0.004501	0.009788
14	1.573031	0.059641	-0.070246	0.003829	0.008950
15	1.585616	0.210822	-0.048486	0.003877	0.011605
16	1.509332	0.234423	0.004852	0.003334	0.010907
17	1.573925	0.081397	-0.058063	0.003852	0.011137
18	1.516139	0.098835	-0.026097	0.003993	0.010023
19	1.580528	0.153626	-0.070806	0.003205	0.010705
20	1.589475	0.133771	-0.213387	0.004036	0.010660
21	1.522524	0.095083	-0.147162	0.003361	0.012065
22	1.501970	-0.006625	-0.071070	0.003000	0.009050
23	1.639101	0.038042	-0.106050	0.003336	0.011523
24	1.558055	0.022777	-0.104217	0.002988	0.012829
25	1.521159	0.081773	-0.204193	0.003075	0.009195
26	1.527490	0.275190	-0.192125	0.003875	0.012317
27	1.510222	0.265487	-0.134088	0.003039	0.009490
28	1.487176	0.059459	-0.151931	0.002935	0.008747
29	1.465370	0.186077	-0.120442	0.003181	0.011773
30	1.465356	0.159424	-0.146540	0.003495	0.010302
31	1.554582	0.215912	-0.179469	0.003708	0.008180
32	1.591316	0.063599	-0.151287	0.003482	0.006680
33	1.521104	0.173230	-0.260561	0.003291	0.010682
34	1.545124	0.152031	-0.202600	0.003190	0.010430
35	1.527783	0.202067	-0.240552	0.003126	0.008144
36	1.544485	0.200781	-0.233818	0.003155	0.010352
37	1.611218	0.225908	-0.309662	0.003342	0.007357
38	1.507995	0.039731	-0.223310	0.003791	0.011145
39	1.519689	0.139426	-0.263048	0.003425	0.009164
40	1.508134	0.057322	-0.193067	0.002874	0.011040
41	1.452131	0.164908	-0.342699	0.003090	0.008895
42	1.592535	0.240418	-0.282700	0.003083	0.008363
43	1.520393	0.238728	-0.315712	0.002509	0.011557
44	1.479491	0.244434	-0.304671	0.003046	0.011544
45	1.484062	0.049417	-0.185628	0.002897	0.009139
46	1.504891	0.183470	-0.168478	0.003271	0.012389
47	1.524843	0.129292	-0.491685	0.003277	0.008283
48	1.516172	0.318177	-0.319426	0.002656	0.009804
49	1.452149	0.279669	-0.349845	0.003105	0.011053
50	1.493021	0.250280	-0.247045	0.002980	0.008074
51	1.458966	0.175130	-0.295476	0.002433	0.009943
52	1.477546	0.179254	-0.295528	0.002792	0.006986
53	1.444525	0.091895	-0.320379	0.003445	0.010028
54	1.425620	0.252282	-0.404464	0.003289	0.012107
55	1.440469	-0.065331	-0.498787	0.003116	0.010568
56	1.444171	0.356842	-0.362921	0.002865	0.012976
57	1.462284	-0.054746	-0.351428	0.003934	0.010770
58	1.419870	0.306860	-0.405049	0.002977	0.010559
59	1.458836	0.148626	-0.558121	0.002645	0.010758
60	1.477518	0.020531	-0.371799	0.002190	0.008701
61	1.454235	0.010275	-0.330082	0.003156	0.008736
62	1.520696	0.395576	-0.372827	0.002614	0.010669
63	1.399993	0.147074	-0.453077	0.003281	0.008380
64	1.425860	0.004205	-0.423455	0.002613	0.011349
65	1.421314	0.145532	-0.466995	0.002989	0.010277
66	1.446313	0.166795	-0.482781	0.002447	0.009847
67	1.467871	0.050044	-0.542343	0.002810	0.011372
68	1.459998	0.181214	-0.543672	0.002882	0.011239
