GRPO Finetuning Log - Started at 2026-02-19 15:34:01
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_grpo_latest.pth', iterations=500, num_prompts=32, group_size=8, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='grpo_best.pth', latest_save_path='grpo_latest.pth', log_file='grpo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
1	0.028808	-0.755205	-3.008115	0.002941	0.011170
2	0.139577	-0.811666	-2.006878	0.003114	0.012217
3	0.222584	-0.720063	-5.126090	0.003141	0.010635
4	0.146520	-0.726694	-1.433439	0.002948	0.010797
5	0.191925	-0.695890	-7.532679	0.002701	0.008944
6	0.086481	-0.693900	2.033812	0.003058	0.011097
7	0.198649	-0.841137	1.719707	0.003723	0.009882
8	0.189020	-0.711440	0.559010	0.002849	0.007025
9	0.096142	-0.667783	-0.468909	0.003069	0.010917
10	0.236621	-0.754674	1.573822	0.003301	0.011165
11	0.127761	-0.745403	1.258801	0.003460	0.010546
12	0.099648	-0.463250	3.068960	0.002748	0.010491
13	0.006912	-0.862827	-1.168416	0.003119	0.012013
14	0.074127	-0.741437	2.640682	0.003306	0.010645
15	0.102689	-0.552010	-0.943620	0.003312	0.011778
16	0.017680	-0.563732	1.426419	0.002351	0.009565
17	-0.033514	-0.735513	0.919714	0.003561	0.009311
18	0.161310	-0.695008	2.408178	0.003286	0.011120
19	0.213627	-0.785336	-5.083826	0.002895	0.011099
20	0.079490	-0.663945	6.825321	0.003165	0.011249
21	0.154167	-0.687002	4.293243	0.004142	0.010843
22	0.117153	-0.515670	-0.659957	0.003426	0.009782
23	-0.026073	-0.771127	2.840815	0.003167	0.011335
24	0.276347	-0.620860	1.022965	0.003038	0.012083
25	0.258143	-0.732215	2.042850	0.003296	0.010530
26	0.154224	-0.787393	-2.829663	0.003170	0.012044
27	0.172754	-0.422448	0.576349	0.003137	0.007602
28	0.230624	-0.827845	0.289380	0.003497	0.009248
29	0.101188	-0.574542	-2.141587	0.003702	0.012957
30	-0.042632	-0.659032	1.933618	0.003098	0.007193
31	0.023795	-0.858287	-1.516651	0.002887	0.011248
32	0.272506	-0.565973	-0.013596	0.002983	0.013333
33	0.003446	-0.571724	-3.843353	0.003062	0.013574
34	-0.024949	-0.649055	-2.784070	0.002609	0.009718
35	0.100899	-0.705911	-4.345814	0.003385	0.011890
36	0.112423	-0.956171	-1.191011	0.002860	0.011162
37	0.184532	-0.632412	-4.140698	0.003264	0.014198
38	0.030428	-0.718609	-1.523180	0.003395	0.011985
39	0.083645	-0.740772	0.277800	0.002860	0.013119
40	0.031331	-0.963843	-0.867844	0.003200	0.011722
41	-0.178795	-0.769611	2.604224	0.002474	0.012900
42	0.271187	-0.711028	4.579273	0.003122	0.009115
43	0.100905	-0.813768	6.333982	0.002793	0.011048
44	0.071666	-0.500385	5.853915	0.002980	0.007170
45	0.264097	-0.454789	2.366250	0.003616	0.009616
46	0.073106	-0.408947	5.639229	0.003373	0.009715
47	0.149974	-0.740803	3.390249	0.003410	0.010097
48	0.000760	-0.691479	2.358486	0.003584	0.011349
49	-0.153209	-0.512191	0.060693	0.003385	0.009033
50	0.248518	-0.480979	3.225888	0.002942	0.012300
51	0.288389	-0.512853	1.658880	0.002913	0.008086
52	0.191080	-0.734568	5.376472	0.004115	0.006308
53	0.124525	-0.650387	-0.303386	0.003131	0.009483
54	0.146508	-0.789280	-0.298510	0.003660	0.007274
55	0.233651	-0.678474	5.293116	0.002915	0.009835
56	0.137002	-0.446495	4.868581	0.003290	0.008217
57	0.041602	-0.641763	3.549130	0.003398	0.010746
58	0.033683	-0.772236	-0.099338	0.002709	0.010422
59	0.161138	-0.495476	4.196800	0.002829	0.011423
