AIRL Training Log - Started at 2026-02-18 22:03:19
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, policy_steps_per_iter=1000, disc_updates=5, policy_updates=10, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, value_coef=0.5, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_best.pth', latest_save_path='airl_latest.pth', log_file='airl_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
1	1.630475	5.981522	-0.424198	0.003311	0.011084
2	1.624699	1.941672	-0.284675	0.003398	0.008836
3	1.594457	2.218378	-0.310510	0.003858	0.008637
4	1.621825	2.237993	-0.307527	0.003702	0.008291
5	1.625391	2.028455	-0.335537	0.003150	0.008998
6	1.621847	2.866203	-0.370458	0.003293	0.007621
7	1.575584	2.791651	-0.415997	0.002848	0.009445
8	1.676364	2.560356	-0.384538	0.003401	0.009444
9	1.554669	1.271318	-0.346702	0.003710	0.011011
10	1.663401	1.662472	-0.386012	0.002650	0.009871
11	1.658631	1.919553	-0.472795	0.003356	0.009283
12	1.545798	3.615782	-0.493094	0.003876	0.009904
13	1.594008	2.206968	-0.439858	0.003471	0.010022
14	1.577990	0.949024	-0.344894	0.003388	0.014096
15	1.517469	0.744077	-0.241912	0.003330	0.010451
16	1.539917	0.885675	-0.317119	0.002866	0.012136
17	1.471725	2.323031	-0.454227	0.003614	0.012332
18	1.626772	6.230856	-0.599129	0.003322	0.011177
19	1.535190	12.265880	-0.714921	0.003239	0.011412
20	1.681822	4.253401	-0.650849	0.002400	0.013031
21	1.574663	3.319610	-0.626339	0.003038	0.012159
22	1.514753	2.596560	-0.466493	0.003429	0.011170
23	1.531063	1.325393	-0.373289	0.003052	0.012523
24	1.508797	2.690443	-0.481875	0.003071	0.011201
25	1.560539	2.909497	-0.557649	0.003195	0.012006
26	1.570328	7.287265	-0.624382	0.003234	0.012074
27	1.525906	4.183895	-0.584310	0.002805	0.012330
28	1.418641	3.923366	-0.734423	0.003265	0.011030
29	1.455471	8.993986	-0.834031	0.002890	0.013221
30	1.486417	15.083601	-0.961210	0.002902	0.013619
31	1.471357	15.397770	-1.047875	0.002949	0.010800
32	1.519750	10.026413	-1.030890	0.002607	0.012015
33	1.419484	8.722339	-0.884176	0.003510	0.011671
34	1.412159	8.032775	-0.832189	0.002913	0.012701
35	1.438320	8.853846	-0.942481	0.003199	0.013662
36	1.517444	17.029296	-0.944895	0.002488	0.009799
37	1.525792	18.668516	-0.959038	0.002866	0.015944
38	1.435541	7.747144	-0.675237	0.002297	0.012390
39	1.440934	5.226751	-0.365980	0.002413	0.013116
40	1.462375	5.639999	-0.636855	0.003056	0.010685
41	1.440801	8.907556	-0.712295	0.003006	0.013467
42	1.441666	7.747178	-0.858150	0.003159	0.011690
43	1.489845	13.277316	-0.931269	0.002822	0.013093
44	1.377448	8.452619	-0.806507	0.002872	0.015691
45	1.359782	16.642493	-1.058235	0.002279	0.011908
46	1.362801	11.588547	-1.161209	0.003125	0.014454
47	1.314651	21.844325	-1.262909	0.003129	0.014516
48	1.330593	23.953981	-1.381094	0.002319	0.014842
49	1.240671	21.795373	-1.376095	0.002953	0.011190
50	1.448581	59.404926	-1.838925	0.002965	0.012147
51	1.669376	40.742471	-2.034914	0.002903	0.013856
52	1.576602	29.175591	-1.851690	0.002742	0.015442
53	1.279079	28.633596	-1.563102	0.002504	0.015108
54	1.283910	23.583571	-1.370010	0.002272	0.015340
55	1.399069	23.756253	-1.332704	0.002867	0.012529
56	1.289815	20.690679	-1.245649	0.003096	0.012320
57	1.396971	23.553780	-1.402930	0.002918	0.014094
58	1.331705	19.260431	-1.139536	0.002777	0.015899
59	1.235021	19.338402	-1.185215	0.002282	0.015699
60	1.219766	17.995857	-1.454182	0.002504	0.012372
61	1.372838	26.969847	-1.576806	0.002849	0.014558
62	1.302476	31.985452	-1.727489	0.002849	0.010663
