PPO Finetuning Log - Started at 2026-02-19 00:04:46
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_latest.pth', iterations=500, policy_steps_per_iter=1500, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, value_coef=0.5, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='ppo_best.pth', latest_save_path='ppo_latest.pth', log_file='ppo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
1	8.773944	-0.238314	-1.518271	0.002916	0.008071
2	8.237161	-0.281320	-1.678162	0.003029	0.010741
3	7.825834	-0.238436	-2.665754	0.002842	0.011397
4	7.866216	-0.229488	-2.242930	0.002106	0.011758
5	5.662389	-0.199356	-1.780314	0.002910	0.010908
6	4.182492	-0.207825	-0.014179	0.002861	0.010601
7	3.608146	-0.190613	-2.005546	0.002757	0.013395
8	2.398567	-0.173877	-1.669183	0.002921	0.014599
9	2.013242	-0.116634	-1.467238	0.003321	0.010770
10	1.235295	-0.118166	-0.858760	0.002426	0.010615
11	0.736806	-0.059954	-0.370046	0.003200	0.012739
12	0.532500	-0.053428	1.731981	0.003378	0.010888
13	0.572374	-0.068401	2.021307	0.003266	0.013044
14	0.229292	0.067524	3.057521	0.002878	0.012837
15	0.126571	0.165134	3.516620	0.004125	0.013274
16	0.040466	0.140084	2.587784	0.003453	0.013079
17	0.142787	0.140958	1.031744	0.003574	0.012726
18	0.497732	0.083629	2.946747	0.003137	0.013078
19	0.520747	0.126237	2.133836	0.003600	0.011694
20	0.554606	0.118918	0.937480	0.003008	0.011852
21	0.596052	0.129299	2.276190	0.003395	0.010432
22	0.859171	0.044599	0.148377	0.003189	0.013385
