BC Training Log - Started at 2026-02-18 14:00:50
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, trajectories_per_epoch=256, d_model=64, nhead=4, num_layers=3, epochs=300, batch_size=64, lr=0.0003, max_grad_norm=1.0, aux_weight=0.1, seed=42, no_cuda=False, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=1e-05, best_save_path='bc_best.pth', latest_save_path='bc_latest.pth', log_file='bc_log.txt')
Epoch	BC Loss	Aux Loss	Total Loss	Best So Far	LR
Device: cuda
1	1.634781	10.652810	2.700062	Yes	0.000300
2	1.589269	10.481828	2.637451	Yes	0.000300
3	1.512264	10.392354	2.551500	Yes	0.000300
4	1.474083	10.256083	2.499691	Yes	0.000300
5	1.549263	10.245595	2.573823	No	0.000300
6	1.527172	10.184527	2.545625	No	0.000300
7	1.501802	10.101222	2.511924	No	0.000300
8	1.452023	10.067873	2.458810	Yes	0.000300
9	1.562012	10.120098	2.574022	No	0.000300
10	1.527278	10.100822	2.537360	No	0.000300
11	1.514241	10.067682	2.521009	No	0.000300
12	1.554666	10.022248	2.556891	No	0.000300
13	1.535483	9.947001	2.530183	No	0.000300
14	1.570718	9.926224	2.563340	No	0.000300
15	1.525516	9.844288	2.509945	No	0.000300
16	1.578718	9.803365	2.559055	No	0.000300
17	1.502040	9.745645	2.476605	No	0.000300
18	1.498723	9.615453	2.460268	No	0.000300
19	1.441175	9.586032	2.399778	Yes	0.000300
20	1.429125	9.531113	2.382237	Yes	0.000300
21	1.452264	9.513308	2.403595	No	0.000300
22	1.404316	9.462300	2.350546	Yes	0.000300
23	1.349558	9.406969	2.290255	Yes	0.000300
24	1.410785	9.536082	2.364394	No	0.000300
25	1.505239	9.530272	2.458266	No	0.000300
26	1.423347	9.426575	2.366005	No	0.000300
27	1.410051	9.470265	2.357077	No	0.000300
28	1.286872	9.386497	2.225522	Yes	0.000300
29	1.232039	9.383562	2.170395	Yes	0.000300
30	1.255490	9.391515	2.194641	No	0.000300
31	1.310932	9.407490	2.251681	No	0.000300
32	1.099551	9.407374	2.040288	Yes	0.000300
33	1.128366	9.320848	2.060450	No	0.000300
34	1.028240	9.287475	1.956988	Yes	0.000300
35	1.024031	9.306308	1.954662	Yes	0.000300
36	0.942352	9.210158	1.863368	Yes	0.000300
37	1.037766	9.189094	1.956676	No	0.000300
38	0.968165	9.167239	1.884889	No	0.000300
39	0.958964	9.148416	1.873805	No	0.000300
40	1.017242	9.132078	1.930449	No	0.000300
41	1.000337	9.132321	1.913569	No	0.000300
42	1.023850	9.099207	1.933771	No	0.000300
43	1.022260	9.143752	1.936635	No	0.000300
44	1.050639	9.142865	1.964925	No	0.000300
45	1.022439	9.094308	1.931869	No	0.000300
46	1.085097	9.113305	1.996427	No	0.000300
47	0.870110	9.011446	1.771255	Yes	0.000300
48	0.813316	8.909077	1.704224	Yes	0.000300
49	0.866597	8.958053	1.762402	No	0.000300
50	0.789680	8.855485	1.675228	Yes	0.000300
51	0.919561	8.923866	1.811948	No	0.000150
52	0.894527	8.927263	1.787253	No	0.000150
53	0.863791	8.898879	1.753679	No	0.000150
54	0.814494	8.889660	1.703460	No	0.000150
55	0.762809	8.865952	1.649404	Yes	0.000150
56	0.800756	8.881357	1.688891	No	0.000150
57	0.722958	8.790810	1.602039	Yes	0.000150
58	0.748795	8.824676	1.631263	No	0.000150
59	0.790811	8.861341	1.676945	No	0.000150
60	0.767289	8.816408	1.648930	No	0.000150
61	0.810516	8.871631	1.697679	No	0.000150
62	0.693898	8.765489	1.570447	Yes	0.000150
63	0.892828	8.932399	1.786068	No	0.000150
64	0.726935	8.811294	1.608065	No	0.000150
65	0.689689	8.797859	1.569475	Yes	0.000150
66	0.744720	8.784392	1.623160	No	0.000150
67	0.632178	8.686857	1.500863	Yes	0.000150
68	0.752216	8.788865	1.631103	No	0.000150
69	0.670252	8.747215	1.544973	No	0.000150
70	0.667523	8.728329	1.540355	No	0.000150
71	0.664344	8.762495	1.540594	No	0.000150
72	0.727007	8.820565	1.609064	No	0.000150
73	0.791800	8.801934	1.671993	No	0.000150
74	0.700441	8.792447	1.579686	No	0.000150
75	0.681405	8.773079	1.558713	No	0.000150
76	0.691260	8.732322	1.564492	No	0.000150
77	0.671689	8.759661	1.547655	No	0.000150
78	0.639867	8.721954	1.512062	No	0.000150
79	0.698049	8.830717	1.581120	No	0.000150
80	0.753336	8.786567	1.631992	No	0.000150
81	0.633221	8.712319	1.504453	No	0.000150
82	0.701440	8.721384	1.573578	No	0.000150
83	0.757324	8.741798	1.631504	No	0.000150
84	0.662668	8.686071	1.531275	No	0.000150
85	0.676806	8.766500	1.553456	No	0.000150
86	0.638320	8.743630	1.512683	No	0.000150
87	0.618494	8.710765	1.489570	Yes	0.000150
88	0.740944	8.751719	1.616116	No	0.000150
89	0.642266	8.715456	1.513811	No	0.000150
90	0.688848	8.733496	1.562198	No	0.000150
91	0.724011	8.714473	1.595458	No	0.000150
92	0.566936	8.658180	1.432754	Yes	0.000150
93	0.556993	8.648753	1.421868	Yes	0.000150
94	0.608893	8.704828	1.479376	No	0.000150
95	0.651624	8.645209	1.516145	No	0.000150
96	0.560263	8.596858	1.419949	Yes	0.000150
97	0.578283	8.663530	1.444636	No	0.000150
98	0.568766	8.664409	1.435207	No	0.000150
99	0.641174	8.692861	1.510460	No	0.000150
100	0.637851	8.733250	1.511176	No	0.000150
101	0.659373	8.652795	1.524652	No	0.000075
102	0.706115	8.776122	1.583727	No	0.000075
103	0.546092	8.626345	1.408726	Yes	0.000075
104	0.638063	8.732896	1.511352	No	0.000075
105	0.476514	8.591145	1.335629	Yes	0.000075
106	0.512725	8.573573	1.370083	No	0.000075
107	0.513575	8.648321	1.378407	No	0.000075
108	0.575405	8.693667	1.444772	No	0.000075
109	0.480305	8.632809	1.343585	No	0.000075
110	0.625445	8.691205	1.494565	No	0.000075
111	0.487673	8.602200	1.347893	No	0.000075
112	0.606346	8.689516	1.475298	No	0.000075
113	0.538110	8.630406	1.401151	No	0.000075
114	0.537993	8.649482	1.402941	No	0.000075
115	0.512532	8.593568	1.371889	No	0.000075
116	0.523753	8.627255	1.386478	No	0.000075
117	0.573862	8.676919	1.441554	No	0.000075
118	0.530590	8.630870	1.393677	No	0.000075
119	0.556715	8.625451	1.419260	No	0.000075
120	0.603823	8.700874	1.473910	No	0.000075
121	0.557910	8.645028	1.422412	No	0.000075
122	0.501636	8.614683	1.363104	No	0.000075
123	0.533027	8.622594	1.395287	No	0.000075
124	0.476870	8.571399	1.334010	Yes	0.000075
125	0.471341	8.571932	1.328534	Yes	0.000075
126	0.565121	8.645543	1.429676	No	0.000075
127	0.510502	8.660963	1.376598	No	0.000075
128	0.525979	8.639551	1.389934	No	0.000075
129	0.551667	8.605692	1.412236	No	0.000075
130	0.520353	8.642065	1.384559	No	0.000075
131	0.497159	8.558241	1.352983	No	0.000075
132	0.433846	8.550143	1.288860	Yes	0.000075
133	0.530076	8.626023	1.392679	No	0.000075
134	0.546218	8.592053	1.405424	No	0.000075
135	0.520269	8.603810	1.380650	No	0.000075
136	0.469087	8.550689	1.324156	No	0.000075
137	0.524705	8.611368	1.385842	No	0.000075
138	0.525707	8.594271	1.385134	No	0.000075
139	0.473883	8.539446	1.327828	No	0.000075
140	0.370984	8.533777	1.224362	Yes	0.000075
141	0.433309	8.566942	1.290004	No	0.000075
142	0.531307	8.600125	1.391320	No	0.000075
143	0.463598	8.576459	1.321243	No	0.000075
144	0.528612	8.648863	1.393499	No	0.000075
145	0.471268	8.585094	1.329777	No	0.000075
146	0.394943	8.478073	1.242751	No	0.000075
147	0.522368	8.593842	1.381753	No	0.000075
148	0.500610	8.620650	1.362675	No	0.000075
149	0.473978	8.595678	1.333546	No	0.000075
150	0.544653	8.594310	1.404084	No	0.000075
151	0.465336	8.621578	1.327494	No	0.000037
152	0.352867	8.521900	1.205056	Yes	0.000037
153	0.468829	8.579024	1.326731	No	0.000037
154	0.400340	8.556903	1.256031	No	0.000037
155	0.417927	8.538032	1.271731	No	0.000037
156	0.325327	8.522126	1.177540	Yes	0.000037
157	0.400564	8.539298	1.254494	No	0.000037
158	0.467300	8.584787	1.325779	No	0.000037
159	0.402892	8.514388	1.254331	No	0.000037
160	0.504237	8.614212	1.365658	No	0.000037
161	0.392643	8.541850	1.246828	No	0.000037
162	0.407276	8.520198	1.259296	No	0.000037
163	0.422753	8.532725	1.276026	No	0.000037
164	0.461720	8.576892	1.319409	No	0.000037
165	0.514193	8.618611	1.376054	No	0.000037
166	0.376914	8.472834	1.224197	No	0.000037
167	0.385696	8.540162	1.239712	No	0.000037
168	0.471820	8.575396	1.329359	No	0.000037
169	0.427238	8.542888	1.281526	No	0.000037
170	0.422750	8.547068	1.277457	No	0.000037
171	0.346825	8.486240	1.195449	No	0.000037
172	0.400456	8.542954	1.254752	No	0.000037
173	0.366793	8.563791	1.223173	No	0.000037
174	0.373169	8.543497	1.227518	No	0.000037
175	0.365682	8.529500	1.218632	No	0.000037
176	0.434751	8.584338	1.293185	No	0.000037
177	0.398239	8.507214	1.248960	No	0.000037
178	0.444168	8.594231	1.303591	No	0.000037
179	0.324053	8.483180	1.172371	Yes	0.000037
180	0.334712	8.483871	1.183099	No	0.000037
181	0.392252	8.547297	1.246981	No	0.000037
182	0.358550	8.508880	1.209438	No	0.000037
183	0.355277	8.555057	1.210783	No	0.000037
184	0.398419	8.509679	1.249387	No	0.000037
185	0.418771	8.519172	1.270689	No	0.000037
